word,valence,arousal,dominance
admiral,0.6,0.1,0.2
admiration,0.7,0.35,0.35
admire,0.6,0.1,0.2
admissible,0.6,0.1,0.2
admonition,-0.5,0.7,-0.5
adorable,0.8,0.6,0.5
adoration,0.7,0.35,0.35
adore,0.5333,0.4,0.3333
adrift,-0.3333,0.2667,-0.1667
adultery,-0.65,-0.15,-0.35
advance,0.2,0.625,0.05
advent,0.5333,0.4,0.3333
adventure,0.2,0.5,0.3
adversary,-0.7,0.7,0.5
adverse,-0.625,0.275,-0.175
adversity,-0.6333,0.3333,-0.1
advice,0.6,0.1,0.2
advisable,0.6,0.1,0.2
advise,0.6,0.1,0.2
advised,0.6,0.1,0.2
adviser,0.6,0.1,0.2
advocacy,0.225,0.475,0.375
advocate,0.6,0.1,0.2
aesthetics,0.8,0.6,0.5
affection,0.7,0.35,0.35
affirm,0.6,0.1,0.2
affirmatively,0.6,0.1,0.2
afflict,-0.6,0.15,-0.4
affliction,-0.6,0.1333,-0.4
affluence,0.8,0.6,0.5
affront,-0.44,0.36,-0.16
afraid,-0.5,0.7,-0.5
aftermath,-0.625,0.275,-0.175
aga,0.05,0.4,-0.15
aggravated,-0.7,0.7,0.5
aggravating,-0.7,0.15,0.1
aggravation,-0.65,0.4,0.05
aggression,-0.6,0.7,0.0
aggressive,-0.6,0.7,0.0
aggressor,-0.6,0.7,0.0
aghast,-0.2667,0.5,-0.3333
agitated,-0.7,0.7,0.5
agitation,-0.7,0.7,0.5
agonizing,-0.5,0.7,-0.5
agony,-0.6333,0.3333,-0.1
agreeable,0.6,0.1,0.2
agreed,0.6,0.1,0.2
agreeing,0.6,0.1,0.2
agreement,0.6,0.1,0.2
ail,-0.7,-0.4,-0.3
ailing,-0.6,0.15,-0.4
airport,0.2,0.5,0.3
airs,-0.6,0.1,-0.4
akin,0.6,0.1,0.2
alarm,-0.1,0.7,-0.3
alarming,-0.1,0.7,-0.3
alb,0.6,0.1,0.2
alcoholism,-0.625,0.275,-0.175
alertness,0.0,0.6333,-0.1
alerts,0.0,0.6333,-0.1
alien,-0.55,0.4,-0.45
alienate,-0.65,0.4,0.05
alienated,-0.7,-0.4,-0.3
alienation,-0.625,0.275,-0.175
alive,0.5333,0.4,0.3333
allegation,-0.7,0.7,0.5
allegiance,0.6,0.1,0.2
alliance,0.6,0.1,0.2
allied,0.6,0.1,0.2
allure,0.4333,0.6,0.2333
ally,0.6,0.1,0.2
aloha,0.5,0.55,0.4
altercation,-0.7,0.7,0.5
amaze,0.3,0.7,-0.1
amazingly,0.55,0.65,0.2
ambassador,0.6,0.1,0.2
ambition,0.5333,0.4,0.3333
ambulance,0.05,0.4,-0.15
ambush,-0.3,0.7,-0.0333
amen,0.7,0.35,0.35
amicable,0.8,0.6,0.5
ammonia,-0.6,0.1,-0.4
amnesty,0.8,0.6,0.5
amortization,0.6,0.1,0.2
amour,0.5333,0.4,0.3333
amphetamines,-0.6,0.1,-0.4
amuse,0.8,0.6,0.5
amused,0.8,0.6,0.5
amusement,0.8,0.6,0.5
amusing,0.8,0.6,0.5
anaconda,-0.55,0.4,-0.45
analyst,0.4,0.3,0.25
anarchism,-0.6,0.7,0.0
anarchist,-0.6,0.7,0.0
anarchy,-0.6,0.7,0.0
anathema,-0.625,0.275,-0.175
ancestral,0.6,0.1,0.2
anchorage,-0.7,-0.4,-0.3
angel,0.475,0.475,0.225
angelic,0.7,0.35,0.35
anger,-0.7,0.7,0.5
angina,-0.5,0.7,-0.5
angling,0.2,0.5,0.3
angry,-0.65,0.4,0.05
anguish,-0.6333,0.3333,-0.1
animated,0.8,0.6,0.5
animosity,-0.625,0.275,-0.175
animus,-0.7,0.7,0.5
annihilate,-0.6,0.7,0.0
annihilated,-0.6333,0.3333,-0.1
annihilation,-0.6333,0.3333,-0.1
announcement,0.2,0.5,0.3
annoy,-0.65,0.4,0.05
annoyance,-0.65,0.4,0.05
annoying,-0.7,0.7,0.5
annulment,-0.7,-0.4,-0.3
anomaly,-0.1,0.7,-0.3
answerable,0.6,0.1,0.2
antagonism,-0.7,0.7,0.5
antagonist,-0.7,0.7,0.5
antagonistic,-0.65,0.4,0.05
anthrax,-0.6,0.1333,-0.4
antichrist,-0.6,0.5,-0.1333
anticipation,0.2,0.5,0.3
anticipatory,0.2,0.5,0.3
antidote,0.4,0.3,0.25
antifungal,0.6,0.1,0.2
antipathy,-0.65,0.4,0.05
antiseptic,0.6,0.1,0.2
antisocial,-0.625,0.275,-0.175
antithesis,-0.7,0.7,0.5
anxiety,-0.425,0.375,0.0
anxious,-0.15,0.6,-0.1
apache,-0.5,0.7,-0.5
apathetic,-0.7,-0.4,-0.3
apathy,-0.7,-0.4,-0.3
aphid,-0.6,0.1,-0.4
apologetic,0.6,0.1,0.2
apologize,-0.05,-0.15,-0.05
apostle,0.6,0.1,0.2
apostolic,0.6,0.1,0.2
appalling,-0.55,0.4,-0.45
apparition,-0.1,0.7,-0.3
appeal,0.2,0.5,0.3
appendicitis,-0.6,0.15,-0.4
applause,0.5667,0.4667,0.2
applicant,0.2,0.5,0.3
appreciation,0.7,0.35,0.35
apprehend,-0.5,0.7,-0.5
apprehension,-0.5,0.7,-0.5
apprehensive,-0.15,0.6,-0.1
apprentice,0.6,0.1,0.2
approaching,0.2,0.5,0.3
approbation,0.6,0.1,0.2
approve,0.7,0.35,0.35
arbiter,0.6,0.1,0.2
arbitration,0.2,0.5,0.3
arbitrator,0.6,0.1,0.2
archaeology,0.2,0.5,0.3
architecture,0.6,0.1,0.2
ardent,0.5,0.55,0.4
argue,-0.7,0.7,0.5
argument,-0.7,0.7,0.5
argumentation,-0.7,0.7,0.5
arguments,-0.7,0.7,0.5
arid,-0.7,-0.4,-0.3
armament,-0.6,0.7,0.0
armaments,-0.5,0.7,-0.5
armed,-0.6,0.7,0.0
armor,0.05,0.4,-0.15
armored,-0.5,0.7,-0.5
armory,0.6,0.1,0.2
arouse,0.2,0.5,0.3
arraignment,-0.6333,0.3333,-0.1
arrival,0.2,0.5,0.3
arrive,0.2,0.5,0.3
arrogant,-0.65,0.4,0.05
arsenic,-0.6,0.1333,-0.4
arson,-0.6,0.7,0.0
art,0.15,0.35,0.1
artillery,-0.5,0.7,-0.5
ashamed,-0.65,-0.15,-0.35
ashes,-0.7,-0.4,-0.3
asp,-0.5,0.7,-0.5
aspiration,0.475,0.475,0.225
aspire,0.5,0.55,0.4
aspiring,0.5333,0.4,0.3333
assail,-0.3,0.7,-0.0333
assailant,-0.6333,0.3333,-0.1
assassin,-0.6333,0.3333,-0.1
assassinate,-0.6,0.7,0.0
assassination,-0.6333,0.3333,-0.1
assault,-0.6,0.7,0.0
assembly,0.6,0.1,0.2
asserting,0.6,0.1,0.2
assessment,0.45,0.4,0.05
assessor,0.6,0.1,0.2
asshole,-0.65,0.4,0.05
assignee,0.6,0.1,0.2
assist,0.6,0.1,0.2
associate,0.6,0.1,0.2
association,0.6,0.1,0.2
assurance,0.6,0.1,0.2
assure,0.6,0.1,0.2
assured,0.6,0.1,0.2
assuredly,0.6,0.1,0.2
astonishingly,0.3,0.7,-0.1
astonishment,0.55,0.65,0.2
astray,-0.5,0.7,-0.5
astrologer,0.2,0.5,0.3
astronomer,0.2,0.5,0.3
asylum,-0.5,0.7,-0.5
asymmetry,-0.6,0.1,-0.4
atherosclerosis,-0.6,0.15,-0.4
atone,0.5333,0.4,0.3333
atrocious,-0.65,0.4,0.05
atrocity,-0.625,0.275,-0.175
atrophy,-0.6,0.1333,-0.4
attack,-0.6,0.7,0.0
attacking,-0.44,0.36,-0.16
attainable,0.2,0.5,0.3
attempt,0.2,0.5,0.3
attendance,0.2,0.5,0.3
attendant,0.6,0.1,0.2
attentive,0.6,0.1,0.2
attenuation,-0.7,-0.4,-0.3
attest,0.6,0.1,0.2
attestation,0.6,0.1,0.2
attorney,-0.2,0.5,0.0667
auction,0.2,0.5,0.3
audience,0.2,0.5,0.3
auditor,0.05,0.4,-0.15
aunt,0.6,0.1,0.2
auspicious,0.5,0.55,0.4
austere,-0.6,0.15,-0.4
authentic,0.7,0.35,0.35
authenticate,0.6,0.1,0.2
authentication,0.6,0.1,0.2
authenticity,0.6,0.1,0.2
author,0.6,0.1,0.2
authoritative,0.6,0.1,0.2
authority,0.6,0.1,0.2
authorization,0.6,0.1,0.2
authorize,0.6,0.1,0.2
automatic,0.6,0.1,0.2
autopsy,-0.6,0.1333,-0.4
avalanche,-0.3,0.3333,-0.3
avarice,-0.65,0.4,0.05
avenger,-0.7,0.7,0.5
averse,-0.6,0.5,-0.1333
aversion,-0.6,0.5,-0.1333
avoid,-0.5,0.7,-0.5
avoidance,-0.5,0.7,-0.5
avoiding,-0.5,0.7,-0.5
await,0.2,0.5,0.3
award,0.475,0.475,0.225
awful,-0.625,0.275,-0.175
awkwardness,-0.6,0.1,-0.4
axiom,0.6,0.1,0.2
axiomatic,0.6,0.1,0.2
baboon,-0.6,0.1,-0.4
baby,0.8,0.6,0.5
babysitter,0.6,0.1,0.2
backbone,-0.05,0.4,0.35
backer,0.6,0.1,0.2
backwards,-0.6,0.1,-0.4
backwater,-0.7,-0.4,-0.3
bacteria,-0.6,0.1333,-0.4
bacterium,-0.55,0.4,-0.45
bad,-0.625,0.275,-0.175
badge,0.6,0.1,0.2
badger,-0.7,0.7,0.5
badly,-0.7,-0.4,-0.3
badness,-0.6,0.5,-0.1333
bailiff,0.05,0.4,-0.15
bait,0.05,0.4,-0.15
bale,-0.5,0.7,-0.5
ballot,0.4,0.3,0.25
balm,0.5,0.55,0.4
bane,-0.6,0.5,-0.1333
bang,-0.44,0.36,-0.16
banger,-0.175,0.65,0.05
banish,-0.625,0.275,-0.175
banished,-0.6333,0.3333,-0.1
banishment,-0.6667,0.1333,-0.0667
bank,0.6,0.1,0.2
banker,0.6,0.1,0.2
bankrupt,-0.6,0.15,-0.4
bankruptcy,-0.625,0.275,-0.175
banquet,0.5,0.55,0.4
banshee,-0.625,0.275,-0.175
baptismal,0.8,0.6,0.5
barb,-0.7,0.7,0.5
barbarian,-0.5,0.7,-0.5
barbaric,-0.6,0.5,-0.1333
barf,-0.6,0.1,-0.4
bargain,0.6,0.1,0.2
bark,-0.7,0.7,0.5
barren,-0.7,-0.4,-0.3
barricade,-0.5,0.7,-0.5
barrier,-0.7,0.7,0.5
barrow,-0.6,0.1,-0.4
bartender,0.6,0.1,0.2
barter,0.6,0.1,0.2
base,0.6,0.1,0.2
basketball,0.5,0.55,0.4
bastard,-0.65,-0.15,-0.35
bastion,-0.7,0.7,0.5
battalion,-0.7,0.7,0.5
batter,-0.6,0.7,0.0
battered,-0.6,0.15,-0.4
battery,-0.7,0.7,0.5
battle,-0.7,0.7,0.5
battled,-0.6333,0.3333,-0.1
battlefield,-0.5,0.7,-0.5
bayonet,-0.6,0.7,0.0
beach,0.8,0.6,0.5
beam,0.8,0.6,0.5
beaming,0.5,0.55,0.4
bear,-0.6,0.7,0.0
bearish,-0.6,0.7,0.0
beast,-0.6,0.7,0.0
beastly,-0.55,0.4,-0.45
beating,-0.6333,0.3333,-0.1
beautification,0.7,0.35,0.35
beautiful,0.8,0.6,0.5
beautify,0.8,0.6,0.5
beauty,0.8,0.6,0.5
bedrock,0.6,0.1,0.2
bee,-0.6,0.7,0.0
beer,0.8,0.6,0.5
befriend,0.7,0.35,0.35
beg,-0.7,-0.4,-0.3
beggar,-0.7,-0.4,-0.3
begun,0.2,0.5,0.3
behemoth,-0.5,0.7,-0.5
believed,0.6,0.1,0.2
believer,0.6,0.1,0.2
believing,0.6,0.1,0.2
belittle,-0.625,0.275,-0.175
belligerent,-0.6,0.7,0.0
bellows,-0.7,0.7,0.5
belt,-0.6,0.7,0.0
benefactor,0.6,0.1,0.2
benevolence,0.7,0.35,0.35
benign,0.8,0.6,0.5
bequest,0.6,0.1,0.2
bereaved,-0.7,-0.4,-0.3
bereavement,-0.7,-0.4,-0.3
berserk,-0.7,0.7,0.5
bestial,-0.55,0.4,-0.45
betray,-0.425,0.275,-0.075
betrayal,-0.6667,0.1333,-0.0667
betrothed,0.5333,0.4,0.3333
beware,-0.15,0.6,-0.1
bewildered,-0.1,0.7,-0.3
bewilderment,-0.1,0.7,-0.3
bias,-0.7,0.7,0.5
bickering,-0.65,0.4,0.05
biennial,0.2,0.5,0.3
bier,-0.6,0.15,-0.4
bigot,-0.6,0.5,-0.1333
bigoted,-0.625,0.275,-0.175
bile,-0.65,0.4,0.05
biopsy,-0.5,0.7,-0.5
birch,-0.6,0.5,-0.1333
birth,0.275,0.475,0.125
birthday,0.4333,0.6,0.2333
birthplace,-0.7,0.7,0.5
bitch,-0.625,0.275,-0.175
bitterly,-0.6667,0.1333,-0.0667
bitterness,-0.6667,0.1333,-0.0667
bizarre,0.3,0.7,-0.1
black,-0.7,-0.4,-0.3
blackmail,-0.6,0.7,0.0
blackness,-0.6,0.15,-0.4
blame,-0.65,0.4,0.05
blanket,0.6,0.1,0.2
blasphemous,-0.65,0.4,0.05
blasphemy,-0.7,0.7,0.5
blast,-0.3,0.7,-0.0333
blatant,-0.65,0.4,0.05
blaze,-0.7,0.7,0.5
bleak,-0.7,-0.4,-0.3
bleeding,-0.6,0.1333,-0.4
blemish,-0.625,0.275,-0.175
bless,0.5333,0.4,0.3333
blessed,0.8,0.6,0.5
blessing,0.5333,0.4,0.3333
blessings,0.475,0.475,0.225
blight,-0.6,0.1333,-0.4
blighted,-0.65,-0.15,-0.35
blindfold,0.0,0.6333,-0.1
blindly,-0.7,-0.4,-0.3
blindness,-0.7,-0.4,-0.3
bliss,0.8,0.6,0.5
blissful,0.8,0.6,0.5
blister,-0.6,0.1,-0.4
blitz,0.3,0.7,-0.1
bloated,-0.6,0.1,-0.4
blob,-0.55,0.4,-0.45
blockade,-0.6333,0.3333,-0.1
bloodshed,-0.44,0.36,-0.16
bloodthirsty,-0.6,0.5,-0.1333
bloody,-0.625,0.275,-0.175
bloom,0.5333,0.4,0.3333
blossom,0.8,0.6,0.5
blue,-0.7,-0.4,-0.3
blues,-0.6,0.15,-0.4
blunder,-0.65,-0.15,-0.35
board,0.2,0.5,0.3
bodyguard,0.6,0.1,0.2
bogus,-0.65,0.4,0.05
boil,-0.6,0.1,-0.4
boisterous,0.1,0.6,0.4333
bomb,-0.4,0.425,-0.1
bombard,-0.6,0.7,0.0
bombardment,-0.6,0.7,0.0
bombed,-0.6,0.1,-0.4
bomber,-0.6,0.15,-0.4
bonanza,0.8,0.6,0.5
bondage,-0.6,0.15,-0.4
bonus,0.4333,0.6,0.2333
boomerang,0.4,0.3,0.25
boredom,-0.7,-0.4,-0.3
bothering,-0.7,0.15,0.1
bottom,-0.7,-0.4,-0.3
bottomless,-0.5,0.7,-0.5
bountiful,0.5,0.55,0.4
bounty,0.5333,0.4,0.3333
bouquet,0.7,0.35,0.35
bout,-0.7,0.7,0.5
bovine,-0.6,0.1,-0.4
bowels,-0.6,0.1,-0.4
boxing,-0.7,0.7,0.5
boy,-0.6,0.1,-0.4
bran,-0.6,0.1,-0.4
brawl,-0.6,0.5,-0.1333
brazen,-0.7,0.7,0.5
break,0.3,0.7,-0.1
breakup,-0.7,-0.4,-0.3
bribery,-0.6,0.1,-0.4
bridal,0.5333,0.4,0.3333
bride,0.5333,0.4,0.3333
bridegroom,0.5333,0.4,0.3333
bridesmaid,0.7,0.35,0.35
brigade,-0.5,0.7,-0.5
brighten,0.5667,0.4667,0.2
brilliant,0.5333,0.4,0.3333
brimstone,-0.6,0.7,0.0
broadside,0.2,0.5,0.3
broil,-0.7,0.7,0.5
broke,-0.6,0.15,-0.4
broken,-0.6333,0.3333,-0.1
brothel,-0.6,0.1,-0.4
brother,0.6,0.1,0.2
brotherhood,0.6,0.1,0.2
brotherly,0.5333,0.4,0.3333
bruise,0.2,0.5,0.3
brunt,-0.7,0.7,0.5
brutal,-0.6,0.7,0.0
brutality,-0.6,0.7,0.0
brute,-0.6333,0.3333,-0.1
buck,-0.1,0.7,-0.3
buddy,0.5333,0.4,0.3333
budget,0.6,0.1,0.2
buffet,-0.7,0.7,0.5
bug,-0.55,0.4,-0.45
bugaboo,-0.6333,0.3333,-0.1
bugle,0.2,0.5,0.3
bully,-0.6,0.7,0.0
bum,-0.65,-0.15,-0.35
bummer,-0.65,0.4,0.05
bunker,-0.5,0.7,-0.5
burdensome,-0.6,0.15,-0.4
bureaucracy,0.6,0.1,0.2
bureaucrat,-0.6,0.1,-0.4
burglar,-0.55,0.4,-0.45
burial,-0.6333,0.3333,-0.1
buried,-0.6,0.15,-0.4
burke,-0.625,0.275,-0.175
burlesque,0.3,0.7,-0.1
burnt,-0.6,0.1,-0.4
bursary,0.6,0.1,0.2
bury,-0.7,-0.4,-0.3
buss,0.8,0.6,0.5
busted,-0.6,0.7,0.0
butcher,-0.6,0.5,-0.1333
butler,0.6,0.1,0.2
buzz,-0.15,0.6,-0.1
bye,0.2,0.5,0.3
bylaw,0.6,0.1,0.2
cabal,-0.5,0.7,-0.5
cabinet,0.6,0.1,0.2
cable,0.3,0.7,-0.1
cacophony,-0.65,0.4,0.05
cad,-0.65,0.4,0.05
cadaver,-0.375,0.275,-0.325
cage,-0.7,-0.4,-0.3
calamity,-0.7,-0.4,-0.3
calculation,0.2,0.5,0.3
calculator,0.6,0.1,0.2
calf,0.7,0.35,0.35
callous,-0.65,0.4,0.05
calls,0.4,0.3,0.25
camouflage,0.3,0.7,-0.1
camouflaged,0.3,0.7,-0.1
campaigning,-0.6,0.7,0.0
cancel,-0.7,-0.4,-0.3
cancer,-0.625,0.275,-0.175
candid,0.475,0.475,0.225
cane,-0.6,0.7,0.0
canker,-0.65,0.4,0.05
cannibal,-0.55,0.4,-0.45
cannibalism,-0.6,0.1,-0.4
cannon,-0.6,0.7,0.0
canons,0.6,0.1,0.2
cap,0.4,0.3,0.25
captivate,0.475,0.475,0.225
captive,-0.6,0.15,-0.4
captivity,-0.7,-0.4,-0.3
captor,-0.5,0.7,-0.5
carcass,-0.6,0.1333,-0.4
carcinoma,-0.6,0.15,-0.4
cardiomyopathy,-0.6,0.15,-0.4
career,0.2,0.5,0.3
carelessness,-0.65,0.4,0.05
caretaker,0.6,0.1,0.2
caries,-0.6,0.1,-0.4
carnage,-0.44,0.36,-0.16
carnivorous,-0.5,0.7,-0.5
carol,0.7,0.35,0.35
cartridge,-0.5,0.7,-0.5
case,-0.6,0.15,-0.4
cash,0.08,0.52,0.2
cashier,0.6,0.1,0.2
casket,-0.6,0.15,-0.4
casualty,-0.6333,0.3333,-0.1
cataract,-0.3333,0.2667,-0.1667
catastrophe,-0.44,0.36,-0.16
catch,0.3,0.7,-0.1
catechism,-0.6,0.1,-0.4
cathedral,0.7,0.35,0.35
caution,-0.3333,0.6333,0.1
cautionary,-0.5,0.7,-0.5
cautious,0.1,0.4333,0.0
cautiously,-0.5,0.7,-0.5
celebrated,0.5,0.55,0.4
celebrating,0.5,0.55,0.4
celebration,0.475,0.475,0.225
celebrity,0.1,0.45,0.1667
celestial,0.5,0.55,0.4
cement,0.4,0.3,0.25
cemetery,-0.6,0.15,-0.4
censor,-0.3,0.4,-0.05
center,0.6,0.1,0.2
ceremony,0.55,0.65,0.2
certify,0.6,0.1,0.2
cess,-0.6,0.1,-0.4
chaff,-0.6,0.7,0.0
chagrin,-0.65,-0.15,-0.35
chairman,0.6,0.1,0.2
chairwoman,0.6,0.1,0.2
challenge,-0.6,0.7,0.0
champion,0.5333,0.4,0.3333
chance,0.3,0.7,-0.1
chancellor,0.6,0.1,0.2
change,-0.5,0.7,-0.5
changeable,0.25,0.6,0.1
chant,0.15,0.625,0.3
chaos,-0.6333,0.3333,-0.1
chaotic,-0.7,0.7,0.5
chaplain,0.6,0.1,0.2
chargeable,-0.6,0.15,-0.4
charitable,0.5333,0.4,0.3333
charity,0.8,0.6,0.5
charmed,0.8,0.6,0.5
chart,0.6,0.1,0.2
chasm,-0.5,0.7,-0.5
chastity,0.4,0.3,0.25
cheat,-0.65,0.4,0.05
checklist,0.6,0.1,0.2
cheer,0.475,0.475,0.225
cheerful,0.55,0.65,0.2
cheerfulness,0.5333,0.4,0.3333
cheering,0.8,0.6,0.5
cheery,0.5,0.55,0.4
chemist,0.6,0.1,0.2
cherish,0.475,0.475,0.225
chicane,0.3667,0.4333,0.1333
chicken,-0.5,0.7,-0.5
child,0.5,0.55,0.4
childhood,0.8,0.6,0.5
chimera,-0.1,0.7,-0.3
chirp,0.8,0.6,0.5
chocolate,0.5333,0.4,0.3333
choir,0.7,0.35,0.35
choke,-0.7,0.15,0.1
cholera,-0.6,0.1333,-0.4
choral,0.8,0.6,0.5
chronic,-0.7,-0.4,-0.3
chronicle,0.6,0.1,0.2
chuckle,0.475,0.475,0.225
church,0.5333,0.4,0.3333
civilization,0.6,0.1,0.2
civilized,0.7,0.35,0.35
claimant,-0.65,0.4,0.05
clamor,-0.2,0.5,0.075
clan,0.6,0.1,0.2
clap,0.5333,0.4,0.3333
clash,-0.7,0.7,0.5
clashing,-0.6,0.7,0.0
classics,0.8,0.6,0.5
claw,-0.6,0.7,0.0
clean,0.7,0.35,0.35
clearance,0.6,0.1,0.2
cleave,-0.5,0.7,-0.5
clerical,0.6,0.1,0.2
cliff,-0.5,0.7,-0.5
climax,0.475,0.475,0.225
clock,0.2,0.5,0.3
closeness,0.7,0.35,0.35
closure,0.1,0.2333,0.1667
clouded,-0.7,-0.4,-0.3
cloudiness,-0.5,0.7,-0.5
cloudy,-0.7,-0.4,-0.3
clown,0.4333,0.6,0.2333
clue,0.2,0.5,0.3
clumsy,-0.6,0.1,-0.4
coach,0.6,0.1,0.2
coalesce,0.6,0.1,0.2
coax,0.6,0.1,0.2
cobra,-0.5,0.7,-0.5
cocaine,-0.7,-0.4,-0.3
coerce,-0.6,0.5,-0.1333
coercion,-0.625,0.275,-0.175
coexist,0.6,0.1,0.2
coexisting,0.6,0.1,0.2
coffin,-0.6,0.15,-0.4
cogent,0.6,0.1,0.2
cohesion,0.6,0.1,0.2
cohesive,0.6,0.1,0.2
coincidence,0.3,0.7,-0.1
coldness,-0.625,0.275,-0.175
collaborator,0.6,0.1,0.2
collapse,-0.6,0.1333,-0.4
collateral,0.6,0.1,0.2
collectively,0.6,0.1,0.2
collision,-0.7,0.7,0.5
collusion,-0.625,0.275,-0.175
colonel,0.6,0.1,0.2
coma,-0.6,0.15,-0.4
comatose,-0.6,0.15,-0.4
combat,-0.6,0.7,0.0
combatant,-0.6,0.7,0.0
combative,-0.6,0.7,0.0
comfort,0.5333,0.4,0.3333
coming,0.2,0.5,0.3
commandant,0.6,0.1,0.2
commanding,0.6,0.1,0.2
commemorate,0.1,0.2333,0.1667
commemoration,0.5,0.55,0.4
commemorative,0.2,0.5,0.3
commendable,0.7,0.35,0.35
commerce,0.6,0.1,0.2
commission,0.6,0.1,0.2
committal,-0.7,-0.4,-0.3
committed,0.6,0.1,0.2
committee,0.6,0.1,0.2
commodore,0.6,0.1,0.2
commonplace,0.4,0.3,0.25
commonwealth,0.6,0.1,0.2
commotion,-0.7,0.7,0.5
communicate,0.6,0.1,0.2
communication,0.6,0.1,0.2
communion,0.7,0.35,0.35
communism,-0.6333,0.3333,-0.1
compact,0.6,0.1,0.2
companion,0.7,0.35,0.35
compass,0.6,0.1,0.2
compassion,-0.5,0.7,-0.5
compensate,0.475,0.475,0.225
competence,0.6,0.1,0.2
competency,0.6,0.1,0.2
competent,0.6,0.1,0.2
competition,0.2,0.5,0.3
complain,-0.7,0.15,0.1
complaint,-0.7,0.7,0.5
complement,0.475,0.475,0.225
completing,0.5,0.55,0.4
completion,0.5,0.55,0.4
compliance,0.6,0.1,0.2
complicate,-0.7,0.7,0.5
compliment,0.475,0.475,0.225
compost,-0.6,0.1,-0.4
compress,-0.7,0.7,0.5
comptroller,0.6,0.1,0.2
compulsion,-0.7,0.7,0.5
comrade,0.6,0.1,0.2
conceal,-0.7,-0.4,-0.3
concealed,0.0,0.6333,-0.1
concealment,-0.3333,0.6333,0.1
concerned,-0.6,0.15,-0.4
conciliation,0.7,0.35,0.35
concord,0.6,0.1,0.2
concordance,0.6,0.1,0.2
concussion,-0.7,0.15,0.1
condemn,-0.7,0.7,0.5
condemnation,-0.46,0.32,-0.08
condescension,-0.6667,0.1333,-0.0667
condolence,-0.7,-0.4,-0.3
confederate,0.6,0.1,0.2
confess,0.6,0.1,0.2
confession,-0.175,0.375,-0.15
confessional,0.05,0.4,-0.15
confide,0.6,0.1,0.2
confidence,0.3,0.4667,0.0667
confident,0.7,0.35,0.35
confidential,0.6,0.1,0.2
confidentially,0.6,0.1,0.2
confine,-0.6333,0.3333,-0.1
confined,-0.625,0.275,-0.175
confinement,-0.6333,0.3333,-0.1
confirmation,0.6,0.1,0.2
confirmed,0.6,0.1,0.2
confiscate,-0.7,0.15,0.1
conflagration,-0.6,0.7,0.0
conflict,-0.6333,0.3333,-0.1
conformity,0.6,0.1,0.2
confront,-0.7,0.7,0.5
confusion,-0.6,0.7,0.0
conglomerate,0.6,0.1,0.2
congratulatory,0.8,0.6,0.5
congregation,0.6,0.1,0.2
congress,0.0,0.1,-0.1
congressman,0.6,0.1,0.2
congruence,0.6,0.1,0.2
conjecture,0.2,0.5,0.3
conjure,0.25,0.6,0.1
connective,0.6,0.1,0.2
connoisseur,0.7,0.35,0.35
conquest,-0.6,0.7,0.0
conscience,0.6,0.1,0.2
conscientious,0.6,0.1,0.2
consecration,0.225,0.2,0.175
consequent,0.2,0.5,0.3
conservation,0.4,0.3,0.25
considerate,0.6,0.1,0.2
consistency,0.6,0.1,0.2
console,-0.7,-0.4,-0.3
